transaction_id,date,description,amount,type,category
TRX-2026-001,2026-01-20,Virement reçu - Laboratoires BioPharm SAS,520000,credit,client_payment
TRX-2026-002,2026-01-19,Salaires janvier 2026,-285000,debit,payroll
TRX-2026-003,2026-01-18,Virement reçu - TechVision Industries,305000,credit,client_payment
TRX-2026-004,2026-01-17,Charges sociales T4 2025,-92000,debit,taxes
TRX-2026-005,2026-01-15,Fournisseur - Cloud Services Europe,-15000,debit,it_services
TRX-2026-006,2026-01-14,Virement reçu - Groupe Innov Santé,580000,credit,client_payment
TRX-2026-007,2026-01-13,Location bureaux janvier,-28000,debit,rent
TRX-2026-008,2026-01-12,Fournisseur - Équipements Lab,-45000,debit,equipment
TRX-2026-009,2026-01-10,Virement reçu - Solutions IoT France,295000,credit,client_payment
TRX-2026-010,2026-01-10,Assurances responsabilité civile,-12000,debit,insurance
TRX-2026-011,2026-01-08,Virement reçu - Robotique Industrielle SA,365000,credit,client_payment
TRX-2026-012,2026-01-07,Honoraires avocat contentieux,-8500,debit,legal_fees
TRX-2026-013,2026-01-06,Virement reçu - MedTech Diagnostics,450000,credit,client_payment
TRX-2026-014,2026-01-05,Fournisseur - Matières premières R&D,-68000,debit,supplies
TRX-2026-015,2026-01-03,Fournisseur - Licences logicielles,-22000,debit,it_services
TRX-2025-212,2025-12-31,Acompte BPI France - Prêt Innovation,500000,credit,financing
TRX-2025-211,2025-12-30,Virement reçu - DataScience Partners,235000,credit,client_payment
TRX-2025-210,2025-12-28,Virement reçu - TechVision Industries,305000,credit,client_payment
TRX-2025-209,2025-12-27,Charges fiscales T4 2025,-125000,debit,taxes
TRX-2025-208,2025-12-20,Salaires décembre 2025,-278000,debit,payroll
TRX-2025-207,2025-12-18,Virement reçu - Plateforme Logistique Verte,415000,credit,client_payment
TRX-2025-206,2025-12-15,Virement reçu - Laboratoires BioPharm SAS,520000,credit,client_payment
TRX-2025-205,2025-12-12,Fournisseur - Prestations externes,-38000,debit,consulting
TRX-2025-204,2025-12-10,Virement reçu - Solutions IoT France,295000,credit,client_payment
TRX-2025-203,2025-12-08,Location bureaux décembre,-28000,debit,rent
TRX-2025-202,2025-12-05,Virement reçu - MedTech Diagnostics,450000,credit,client_payment
TRX-2025-201,2025-12-02,Virement reçu - Énergie Renouvelable Ouest,355000,credit,client_payment
